Feature_A,Feature_B,Feature_C,Feature_D,Feature_E,Feature_F,Feature_G,Feature_H,Feature_I,Feature_J,Feature_K,Feature_L,Feature_M,Feature_N,Label
4.5,B_3,33986.3,D_1,1.3,F_3,G_6,H_1,I_1,J_1,861.4,0.0,4.8,N_1,No
2.8,B_3,12292.2,D_2,0.9,F_1,G_2,H_1,I_1,J_2,0.0,0.0,5.0,N_1,Yes
2.5,B_3,12299.9,D_2,0.9,F_1,G_7,H_4,I_1,J_1,0.0,0.0,4.0,N_1,Yes
4.6,B_2,2828.1,D_1,1.3,F_2,G_9,H_2,I_1,J_1,0.0,0.0,4.0,N_1,No
3.5,,11900.6,D_2,0.9,F_7,,H_4,I_1,J_2,0.0,0.0,3.8,N_1,Yes
1.8,B_3,4082.9,D_3,0.7,F_1,G_6,H_6,I_4,J_2,0.0,0.0,2.5,N_1,Yes
4.0,B_2,2976.2,D_6,1.0,F_2,G_7,H_2,I_1,J_1,0.0,0.0,6.0,N_1,Yes
4.7,B_3,14004.5,D_2,0.9,F_5,G_1,H_5,I_1,J_2,0.0,0.0,4.0,N_1,Yes
3.6,B_3,10829.3,D_2,0.9,F_7,G_5,H_5,I_1,J_2,0.0,0.0,2.4,N_1,Yes
1.9,B_3,26260.1,D_2,0.9,F_1,G_5,H_4,I_1,J_2,0.0,0.0,1.4,N_1,Yes
1.8,B_3,14275.1,D_13,0.6,F_1,G_3,H_1,I_1,J_1,0.0,0.0,4.0,N_1,Yes
5.9,B_3,15900.8,D_7,1.2,F_2,G_7,H_2,I_1,J_1,729.8,0.0,2.0,N_1,No
3.1,B_3,16424.3,D_6,1.0,F_2,G_7,H_2,I_1,J_1,0.0,157.9,4.0,N_1,Yes
5.0,B_6,17485.5,D_2,0.9,F_3,G_2,H_5,I_1,J_2,0.0,0.0,4.0,N_1,Yes
1.8,B_3,15254.5,D_2,0.9,F_1,G_5,H_4,I_1,J_2,0.0,0.0,0.8,N_1,Yes
4.5,B_3,9784.2,D_6,1.0,F_2,G_10,H_2,I_1,J_1,0.0,0.0,6.5,N_1,Yes
2.6,B_3,18217.8,D_6,1.0,F_2,G_7,H_2,I_1,J_1,282.9,0.0,4.0,N_1,Yes
2.5,B_3,21123.1,D_2,0.9,F_2,G_11,H_6,I_1,J_2,0.0,0.0,4.8,N_1,No
5.2,B_3,20295.6,D_9,0.4,F_2,G_7,H_2,I_1,J_1,0.0,0.0,4.0,N_1,Yes
5.2,B_2,6300.4,D_4,1.4,F_2,G_2,H_2,I_3,J_1,0.0,0.0,4.0,N_13,Yes
4.4,B_3,12005.7,D_7,1.2,F_2,G_2,H_2,I_1,J_1,438.6,0.0,4.5,N_1,No
2.5,B_3,12026.8,D_1,1.3,F_1,G_4,H_4,I_1,J_1,0.0,0.0,7.0,N_1,Yes
2.5,B_3,7389.5,D_2,0.9,F_1,G_5,H_4,I_1,J_2,0.0,0.0,1.0,N_1,Yes
3.0,B_3,29195.1,D_2,0.9,F_2,G_7,H_2,I_2,J_1,0.0,0.0,4.0,N_1,Yes
4.8,B_3,9635.9,D_1,1.3,F_2,G_2,H_2,I_1,J_1,0.0,0.0,6.0,N_35,No
2.3,B_3,36148.1,D_13,0.6,F_2,G_5,H_2,I_1,J_1,0.0,0.0,4.0,,Yes
2.7,B_1,20840.6,D_1,1.3,F_1,G_4,H_1,I_1,J_1,0.0,0.0,3.0,N_1,Yes
2.6,B_3,13736.7,D_6,1.0,F_1,G_3,H_6,I_3,J_1,0.0,0.0,4.4,N_13,Yes
7.1,B_5,33706.4,D_4,1.4,F_7,G_4,H_1,I_1,J_2,0.0,0.0,4.0,N_1,Yes
3.5,B_3,36079.9,D_2,0.9,F_2,G_7,H_2,I_1,J_1,729.8,0.0,4.0,N_1,No
6.6,B_3,26363.7,D_13,0.6,F_2,G_12,H_2,I_1,J_1,0.0,0.0,4.0,N_1,Yes
5.0,B_3,13725.3,D_1,1.3,F_2,G_1,H_3,I_1,J_2,0.0,0.0,4.0,N_1,No
4.5,B_3,13862.6,D_6,1.0,F_3,G_2,H_1,I_1,J_1,0.0,187.6,5.0,N_1,Yes
3.0,B_1,7061.7,D_4,1.4,F_2,G_4,H_2,I_3,J_1,0.0,0.0,1.0,N_28,Yes
1.9,,42386.3,D_6,1.0,F_1,,H_4,I_1,J_2,0.0,0.0,3.5,N_1,Yes
4.7,B_3,13914.5,D_6,1.0,F_3,G_1,H_1,I_1,J_2,0.0,0.0,6.0,N_1,Yes
1.9,,21895.6,D_6,1.0,F_1,,H_4,I_1,J_1,0.0,0.0,2.4,N_10,Yes
4.3,B_5,23196.4,D_6,1.0,F_3,G_1,H_5,I_1,J_2,0.0,0.0,4.0,N_1,Yes
4.2,B_3,17813.4,D_6,1.0,F_3,G_1,H_1,I_1,J_2,0.0,0.0,3.0,N_1,Yes
1.7,B_3,36870.0,D_3,0.7,F_1,G_6,H_4,I_1,J_1,0.0,0.0,2.8,N_1,Yes
3.0,B_3,3198.5,D_6,1.0,F_3,G_2,H_5,I_1,J_2,0.0,0.0,4.0,N_1,Yes
2.0,B_3,36885.2,D_6,1.0,F_1,G_5,H_4,I_1,J_2,0.0,0.0,2.0,N_1,Yes
5.6,B_3,17014.8,D_2,0.9,F_3,G_7,H_5,I_2,J_1,0.0,0.0,4.0,N_1,Yes
5.6,B_3,19313.0,D_11,1.5,F_2,G_2,H_2,I_1,J_1,0.0,0.0,1.6,N_1,Yes
4.2,B_3,26360.8,D_6,1.0,F_3,G_7,H_4,I_1,J_1,0.0,0.0,4.0,N_1,Yes
4.9,B_4,11037.3,D_6,1.0,F_2,G_11,H_2,I_1,J_1,0.0,0.0,4.0,N_1,No
1.7,B_3,17429.8,D_3,0.7,F_1,G_5,H_4,I_1,J_1,0.0,0.0,2.0,N_1,Yes
2.9,B_3,10362.8,D_6,1.0,F_2,G_1,H_3,I_1,J_2,0.0,0.0,4.0,N_1,No
2.2,B_3,35568.6,D_6,1.0,F_1,G_1,H_1,I_1,J_2,0.0,0.0,4.0,N_1,Yes
3.2,B_4,19138.5,D_7,1.2,F_3,G_12,H_1,I_1,J_1,217.4,0.0,4.0,N_1,Yes
6.7,B_2,12754.3,D_13,0.6,F_2,G_9,H_2,I_1,J_1,241.4,0.0,8.0,N_1,Yes
4.5,B_5,20332.2,D_6,1.0,F_3,G_1,H_1,I_1,J_2,0.0,0.0,3.8,N_1,Yes
2.4,B_3,15581.8,D_6,1.0,F_1,G_6,H_4,I_1,J_2,0.0,0.0,4.0,N_1,Yes
3.7,B_3,18693.4,D_3,0.7,F_2,G_10,H_2,I_1,J_1,310.3,0.0,4.4,N_1,No
4.7,B_3,14526.9,D_3,0.7,F_3,G_7,H_1,I_1,J_2,0.0,0.0,4.5,N_1,Yes
4.6,B_3,3437.7,D_7,1.2,F_2,G_7,H_2,I_1,J_1,0.0,0.0,4.0,N_1,No
4.8,B_3,8065.1,D_2,0.9,F_3,G_10,H_1,I_1,J_2,0.0,0.0,5.5,N_1,Yes
4.7,B_3,34415.7,D_3,0.7,F_3,G_3,H_1,I_1,J_1,0.0,0.0,4.0,N_1,Yes
4.8,B_1,18348.6,D_8,1.1,F_3,G_4,H_5,I_1,J_2,0.0,0.0,5.6,N_1,No
2.0,B_3,16300.3,D_2,0.9,F_1,G_1,H_5,I_3,J_2,0.0,0.0,1.5,N_1,Yes
3.3,B_3,10597.4,D_2,0.9,F_1,G_7,H_1,I_1,J_1,0.0,0.0,4.1,N_1,Yes
2.8,B_3,43008.4,D_2,0.9,F_3,G_5,H_4,I_2,J_1,0.0,0.0,3.5,N_1,Yes
2.0,B_5,35084.5,D_6,1.0,F_1,G_1,H_4,I_1,J_2,0.0,0.0,1.0,N_1,Yes
5.2,B_3,20813.7,D_8,1.1,F_2,G_1,H_2,I_1,J_1,0.0,0.0,4.0,N_1,Yes
4.7,B_3,28748.0,D_6,1.0,F_2,G_7,H_2,I_1,J_1,0.0,0.0,4.0,N_1,Yes
2.9,B_3,26563.8,D_6,1.0,F_1,G_5,H_5,I_2,J_2,0.0,0.0,4.0,N_1,Yes
2.2,B_3,5226.2,D_6,1.0,F_1,G_5,H_1,I_1,J_1,0.0,0.0,4.0,N_1,Yes
3.3,B_2,29559.1,D_14,0.2,F_4,G_7,H_1,I_1,J_1,0.0,0.0,4.0,N_5,Yes
2.3,B_3,17223.2,D_2,0.9,F_1,G_11,H_4,I_1,J_1,0.0,0.0,5.0,N_1,Yes
3.3,B_3,11156.7,D_4,1.4,F_2,G_2,H_2,I_1,J_1,0.0,190.2,4.5,N_11,No
2.4,,28373.1,D_1,1.3,F_1,,H_4,I_1,J_1,0.0,0.0,4.0,N_1,Yes
4.4,B_1,15075.5,D_1,1.3,F_2,G_1,H_2,I_1,J_1,501.3,0.0,4.0,N_1,Yes
5.8,B_2,31810.6,D_2,0.9,F_2,G_2,H_2,I_1,J_1,0.0,0.0,4.0,N_1,No
3.2,B_3,14820.7,D_8,1.1,F_2,G_7,H_2,I_1,J_1,0.0,0.0,4.0,N_1,Yes
2.3,B_3,8752.8,D_1,1.3,F_1,G_6,H_1,I_1,J_2,0.0,0.0,4.5,N_1,Yes
2.6,B_3,5806.5,D_1,1.3,F_1,G_1,H_1,I_1,J_2,0.0,0.0,2.0,N_1,Yes
4.0,B_6,7662.5,D_2,0.9,F_2,G_3,H_2,I_1,J_1,0.0,0.0,4.0,N_1,Yes
2.0,B_3,36967.7,D_13,0.6,F_5,G_6,H_1,I_1,J_2,0.0,0.0,3.6,N_1,Yes
4.7,B_3,28491.6,D_2,0.9,F_2,G_6,H_2,I_1,J_1,729.8,0.0,4.5,N_1,No
3.5,B_3,17712.1,D_2,0.9,F_3,G_5,H_1,I_1,J_2,0.0,0.0,3.5,N_1,Yes
1.8,B_2,6098.1,D_3,0.7,F_1,G_5,H_4,I_1,J_2,0.0,0.0,0.4,N_1,Yes
2.4,,11268.3,D_2,0.9,F_1,,H_1,I_1,J_2,0.0,0.0,3.2,N_1,Yes
6.0,B_2,5290.0,D_2,0.9,F_2,G_7,H_2,I_1,J_1,0.0,0.0,4.2,N_1,No
3.5,B_3,11216.0,D_2,0.9,F_2,G_6,H_2,I_1,J_1,0.0,0.0,4.0,N_1,Yes
4.1,B_1,51803.0,D_1,1.3,F_1,G_12,H_1,I_2,J_1,0.0,159.0,4.0,N_7,Yes
2.0,B_3,23868.5,D_6,1.0,F_1,G_6,H_1,I_1,J_2,0.0,0.0,3.0,N_1,Yes
3.9,B_3,30559.7,D_8,1.1,F_2,G_7,H_2,I_1,J_1,0.0,0.0,4.0,N_1,Yes
5.7,B_3,36568.3,D_2,0.9,F_3,G_10,H_1,I_1,J_2,0.0,0.0,4.0,N_1,No
3.7,B_3,3437.8,D_9,0.4,F_2,G_9,H_2,I_1,J_1,258.0,0.0,6.0,N_1,Yes
4.3,B_3,19525.8,D_2,0.9,F_2,G_1,H_2,I_1,J_1,0.0,0.0,4.0,N_1,No
5.0,B_3,27933.7,D_1,1.3,F_3,G_2,H_1,I_1,J_1,0.0,0.0,5.5,N_1,No
2.1,B_3,14829.4,D_2,0.9,F_1,G_9,H_4,I_1,J_1,0.0,0.0,2.0,N_1,Yes
5.0,B_3,17748.7,D_2,0.9,F_2,G_7,H_2,I_1,J_1,0.0,0.0,4.0,N_1,Yes
3.0,B_3,29645.3,D_1,1.3,F_2,G_1,H_2,I_1,J_1,729.8,0.0,4.0,N_1,No
6.5,,29949.4,D_3,0.7,F_2,,H_2,I_1,J_1,179.7,0.0,4.0,N_1,Yes
2.7,B_3,35863.6,D_6,1.0,F_2,G_7,H_2,I_1,J_1,282.9,0.0,7.0,N_1,Yes
3.2,B_3,12342.9,D_13,0.6,F_5,G_7,H_1,I_1,J_1,0.0,0.0,4.0,N_1,Yes
2.4,B_3,2981.0,D_2,0.9,F_3,G_6,H_1,I_1,J_2,0.0,0.0,3.8,N_1,Yes
4.4,B_5,17468.4,D_2,0.9,F_3,G_7,H_5,I_2,J_1,0.0,0.0,4.0,N_1,Yes
3.4,B_3,20766.8,D_6,1.0,F_2,G_3,H_2,I_1,J_1,0.0,188.7,4.0,N_1,No
2.7,B_3,10721.8,D_2,0.9,F_1,G_5,H_4,I_3,J_1,0.0,0.0,4.0,N_1,Yes
4.0,B_3,43649.3,D_2,0.9,F_1,G_5,H_4,I_1,J_1,0.0,0.0,2.5,N_1,Yes
6.1,B_3,24844.8,D_9,0.4,F_3,G_5,H_5,I_1,J_2,0.0,0.0,4.0,N_1,Yes
2.6,B_3,3361.0,D_2,0.9,F_1,G_7,H_6,I_1,J_1,0.0,0.0,6.0,N_1,Yes
4.0,B_1,26973.3,D_8,1.1,F_1,G_7,H_1,I_1,J_1,0.0,0.0,4.0,N_1,Yes
6.2,B_3,20092.2,D_9,0.4,F_7,G_10,H_1,I_1,J_2,0.0,0.0,4.0,N_1,Yes
2.9,B_3,14425.9,D_1,1.3,F_2,G_3,H_2,I_2,J_1,438.6,0.0,8.0,,No
2.9,B_3,21647.9,D_2,0.9,F_3,G_2,H_1,I_1,J_2,0.0,0.0,4.0,N_1,Yes
4.8,B_3,16715.9,D_8,1.1,F_1,G_1,H_5,I_1,J_1,0.0,0.0,4.0,N_1,Yes
2.6,B_3,21379.9,D_13,0.6,F_1,G_3,H_1,I_1,J_1,0.0,0.0,4.0,N_1,Yes
5.1,B_3,10672.8,D_1,1.3,F_2,G_2,H_2,I_1,J_1,517.8,0.0,6.0,N_1,No
3.6,B_3,17848.7,D_2,0.9,F_3,G_8,H_4,I_1,J_1,0.0,0.0,6.0,N_1,Yes
4.1,B_3,34922.1,D_2,0.9,F_1,G_7,H_4,I_2,J_2,0.0,0.0,3.5,N_1,Yes
7.4,,34093.9,D_5,0.5,F_2,,H_2,I_1,J_1,347.1,0.0,4.0,N_1,Yes
5.7,B_1,3269.4,D_4,1.4,F_2,G_4,H_2,I_1,J_1,0.0,0.0,5.0,N_1,No
3.8,B_3,19655.4,D_11,1.5,F_5,G_4,H_1,I_1,J_1,0.0,0.0,3.5,N_1,No
3.7,B_3,32553.8,D_2,0.9,F_1,G_2,H_4,I_1,J_1,0.0,0.0,6.0,,Yes
3.2,B_3,19490.1,D_2,0.9,F_2,G_1,H_2,I_1,J_1,0.0,0.0,4.0,N_1,Yes
5.5,B_2,3534.0,D_6,1.0,F_2,G_7,H_2,I_1,J_1,0.0,0.0,5.0,N_1,Yes
3.6,B_3,25079.1,D_2,0.9,F_2,G_3,H_2,I_1,J_1,0.0,0.0,4.8,N_1,Yes
2.0,B_3,10018.8,D_6,1.0,F_1,G_11,H_4,I_1,J_2,0.0,0.0,2.4,N_1,Yes
3.1,B_5,5044.2,D_6,1.0,F_1,G_1,H_4,I_4,J_2,0.0,0.0,2.5,N_1,Yes
2.6,B_3,6243.8,D_1,1.3,F_2,G_6,H_3,I_1,J_2,0.0,0.0,4.0,N_1,No
7.3,B_3,33367.6,D_2,0.9,F_2,G_9,H_2,I_1,J_1,0.0,0.0,5.0,N_1,Yes
2.4,B_3,24853.3,D_6,1.0,F_1,G_6,H_6,I_2,J_2,0.0,0.0,4.0,N_1,Yes
2.3,B_3,11145.0,D_16,0.8,F_1,G_5,H_5,I_2,J_1,0.0,0.0,3.8,N_1,Yes
5.0,B_3,18442.4,D_6,1.0,F_2,G_1,H_3,I_1,J_2,0.0,190.2,3.8,N_1,No
5.0,B_3,34384.7,D_2,0.9,F_2,G_12,H_2,I_1,J_1,0.0,0.0,3.8,N_1,No
4.6,B_3,8306.4,D_6,1.0,F_2,G_10,H_2,I_1,J_1,0.0,0.0,4.0,N_1,Yes
7.0,,29307.6,D_6,1.0,F_2,,H_2,I_1,J_1,0.0,0.0,3.0,N_1,Yes
1.8,B_3,8349.2,D_9,0.4,F_1,G_10,H_4,I_1,J_1,0.0,0.0,4.0,N_1,Yes
4.3,B_5,26973.3,D_2,0.9,F_5,G_5,H_1,I_1,J_1,0.0,0.0,4.0,N_1,Yes
3.0,B_3,21372.2,D_2,0.9,F_1,G_3,H_4,I_1,J_1,0.0,0.0,4.0,N_1,Yes
3.4,B_2,31372.9,D_1,1.3,F_2,G_6,H_2,I_1,J_1,0.0,0.0,6.0,N_1,No
5.2,B_3,20440.2,D_2,0.9,F_2,G_8,H_2,I_1,J_1,0.0,0.0,8.5,N_1,No
4.3,B_3,12583.3,D_1,1.3,F_2,G_1,H_2,I_3,J_1,0.0,0.0,4.0,N_37,Yes
6.1,B_3,14998.1,D_2,0.9,F_2,G_1,H_3,I_1,J_2,241.4,0.0,0.5,N_1,Yes
4.9,B_1,35452.9,D_6,1.0,F_1,G_1,H_1,I_1,J_2,0.0,0.0,4.0,N_1,Yes
3.4,B_5,28484.3,D_2,0.9,F_1,G_9,H_1,I_2,J_1,59.4,0.0,6.0,N_1,Yes
3.5,B_3,32580.2,D_7,1.2,F_3,G_3,H_5,I_1,J_2,0.0,0.0,2.4,N_1,Yes
4.2,B_3,3793.7,D_1,1.3,F_2,G_2,H_2,I_1,J_1,0.0,0.0,5.5,N_1,No
5.2,B_6,17375.4,D_11,1.5,F_2,G_4,H_2,I_1,J_1,1502.4,0.0,6.0,N_1,No
2.7,B_3,40666.2,D_2,0.9,F_1,G_1,H_1,I_1,J_1,441.6,0.0,4.0,N_1,Yes
2.1,B_3,3491.8,D_2,0.9,F_1,G_6,H_4,I_1,J_2,0.0,0.0,3.0,N_1,Yes
5.8,B_2,8751.0,D_13,0.6,F_2,G_7,H_2,I_1,J_1,0.0,0.0,4.0,N_1,Yes
6.3,B_3,10009.9,D_2,0.9,F_4,G_7,H_1,I_1,J_1,0.0,0.0,4.0,N_1,Yes
4.6,B_3,26526.6,D_1,1.3,F_2,G_4,H_2,I_1,J_1,0.0,190.2,4.0,N_1,No
2.0,B_3,13351.5,D_6,1.0,F_1,G_6,H_6,I_1,J_2,0.0,0.0,4.0,N_1,Yes
3.9,B_3,16772.8,D_1,1.3,F_2,G_2,H_2,I_1,J_1,0.0,0.0,4.0,N_1,No
2.3,B_3,8239.3,D_5,0.5,F_1,G_5,H_4,I_3,J_1,0.0,0.0,2.0,N_13,Yes
5.0,B_6,17533.9,D_2,0.9,F_2,G_7,H_2,I_1,J_1,0.0,167.2,6.0,N_1,Yes
4.2,B_3,28016.7,D_4,1.4,F_2,G_4,H_2,I_1,J_1,0.0,0.0,4.0,N_1,No
6.4,B_5,24490.3,D_3,0.7,F_2,G_7,H_2,I_2,J_1,0.0,0.0,4.0,N_1,No
2.2,B_3,34753.0,D_2,0.9,F_5,G_5,H_5,I_2,J_2,0.0,0.0,3.5,N_1,Yes
2.2,B_3,17537.4,D_6,1.0,F_2,G_5,H_2,I_1,J_1,0.0,0.0,2.4,N_1,Yes
3.9,B_3,6713.6,D_8,1.1,F_5,G_1,H_1,I_3,J_1,0.0,0.0,4.0,N_1,Yes
4.4,B_4,28036.2,D_7,1.2,F_2,G_7,H_2,I_1,J_1,0.0,0.0,4.0,N_1,No
2.2,,24638.6,D_2,0.9,F_1,,H_5,I_2,J_2,0.0,0.0,4.0,N_1,Yes
1.9,,25229.2,D_2,0.9,F_1,,H_4,I_1,J_1,0.0,0.0,4.0,N_1,Yes
3.6,B_3,24775.0,D_2,0.9,F_2,G_8,H_2,I_2,J_1,0.0,0.0,4.5,N_1,Yes
2.9,B_5,18827.8,D_6,1.0,F_2,G_4,H_2,I_1,J_1,0.0,0.0,4.0,N_1,Yes
6.1,B_5,10126.5,D_2,0.9,F_7,G_1,H_5,I_1,J_2,147.1,0.0,3.5,N_1,Yes
3.7,B_2,7319.9,D_1,1.3,F_2,G_6,H_2,I_3,J_1,313.7,0.0,7.7,N_37,Yes
4.8,B_3,11919.9,D_1,1.3,F_3,G_6,H_5,I_1,J_2,0.0,0.0,4.4,N_1,Yes
3.7,B_6,38280.2,D_10,1.6,F_2,G_4,H_2,I_2,J_1,0.0,0.0,9.9,N_1,No
3.6,B_2,11195.7,D_6,1.0,F_2,G_2,H_2,I_1,J_1,0.0,0.0,5.2,N_1,Yes
4.4,B_3,36774.9,D_14,0.2,F_1,G_10,H_1,I_1,J_2,0.0,0.0,4.0,N_25,Yes
4.8,B_5,11549.7,D_6,1.0,F_2,G_2,H_2,I_1,J_1,0.0,0.0,4.0,N_1,Yes
5.4,B_3,9918.5,D_10,1.6,F_2,G_4,H_2,I_1,J_1,1502.4,0.0,4.5,N_1,No
3.8,B_3,17610.1,D_1,1.3,F_2,G_2,H_2,I_1,J_1,0.0,0.0,4.0,N_1,Yes
3.0,B_3,22093.9,D_8,1.1,F_3,G_2,H_1,I_1,J_1,0.0,0.0,4.0,N_1,Yes
1.9,,24161.6,D_2,0.9,F_1,,H_5,I_1,J_1,0.0,200.1,4.0,N_1,Yes
2.5,B_5,5844.1,D_1,1.3,F_1,G_4,H_1,I_1,J_2,0.0,0.0,4.0,N_1,Yes
4.6,B_5,14453.1,D_1,1.3,F_1,G_4,H_1,I_1,J_2,0.0,0.0,4.0,N_1,No
6.9,B_2,17087.7,D_2,0.9,F_2,G_6,H_2,I_1,J_1,0.0,0.0,4.8,N_1,Yes
7.4,,27266.7,D_7,1.2,F_7,,H_1,I_1,J_2,0.0,0.0,2.0,N_1,Yes
2.5,B_3,21813.6,D_6,1.0,F_1,G_3,H_1,I_2,J_1,0.0,0.0,4.0,N_32,Yes
2.1,B_3,32166.6,D_2,0.9,F_1,G_7,H_4,I_1,J_1,59.4,0.0,4.0,N_1,Yes
5.1,B_2,14922.0,D_6,1.0,F_2,G_9,H_2,I_1,J_1,0.0,0.0,7.5,N_1,Yes
2.1,B_3,29615.8,D_2,0.9,F_1,G_5,H_4,I_1,J_1,0.0,0.0,4.0,N_1,Yes
5.7,B_3,18092.0,D_13,0.6,F_2,G_7,H_2,I_1,J_1,0.0,0.0,4.3,N_1,Yes
4.6,B_1,11990.4,D_11,1.5,F_1,G_4,H_1,I_1,J_2,0.0,156.4,5.5,N_1,No
5.5,B_3,18543.6,D_6,1.0,F_2,G_2,H_2,I_1,J_1,0.0,0.0,7.0,N_1,No
3.4,B_5,30386.7,D_5,0.5,F_1,G_5,H_4,I_1,J_1,0.0,0.0,4.0,N_1,Yes
4.8,B_3,14148.3,D_6,1.0,F_3,G_2,H_5,I_1,J_2,0.0,0.0,4.0,N_1,Yes
5.3,B_3,4615.5,D_2,0.9,F_2,G_14,H_6,I_1,J_2,0.0,0.0,4.0,N_1,Yes
3.2,B_3,3443.7,D_2,0.9,F_1,G_8,H_4,I_1,J_1,0.0,0.0,4.0,N_1,Yes
4.5,B_1,3596.9,D_4,1.4,F_2,G_4,H_2,I_1,J_1,0.0,0.0,6.0,N_1,No
4.8,B_3,4734.3,D_4,1.4,F_2,G_4,H_2,I_1,J_1,0.0,0.0,4.0,N_1,No
2.8,B_3,27392.9,D_2,0.9,F_2,G_6,H_2,I_1,J_1,0.0,162.8,6.0,N_1,Yes
4.7,B_3,18165.2,D_2,0.9,F_3,G_1,H_1,I_1,J_2,0.0,0.0,4.0,N_1,Yes
2.3,B_3,22442.4,D_1,1.3,F_1,G_5,H_4,I_1,J_1,0.0,0.0,4.0,N_1,Yes
2.5,B_2,21027.8,D_1,1.3,F_1,G_4,H_4,I_1,J_1,0.0,0.0,3.0,N_1,Yes
2.2,B_3,23582.9,D_6,1.0,F_1,G_1,H_4,I_1,J_2,0.0,0.0,4.0,N_1,Yes
6.4,,19357.5,D_3,0.7,F_1,,H_5,I_1,J_1,0.0,0.0,4.0,N_1,Yes
4.3,B_2,31117.7,D_6,1.0,F_1,G_8,H_1,I_2,J_1,0.0,0.0,3.0,N_1,Yes
4.2,B_3,25053.6,D_6,1.0,F_5,G_5,H_5,I_2,J_2,0.0,0.0,2.1,N_22,Yes
4.5,B_5,3730.6,D_1,1.3,F_2,G_4,H_2,I_1,J_1,0.0,0.0,4.5,N_1,No
3.5,B_3,6266.9,D_6,1.0,F_2,G_2,H_2,I_1,J_1,0.0,0.0,5.5,N_1,No
5.7,B_6,15902.8,D_11,1.5,F_2,G_4,H_2,I_1,J_1,9999.9,0.0,6.0,N_1,No
2.7,B_3,33542.1,D_1,1.3,F_1,G_4,H_1,I_1,J_2,0.0,0.0,2.0,N_1,Yes
2.7,B_3,30240.6,D_6,1.0,F_2,G_6,H_2,I_1,J_1,0.0,0.0,4.0,N_1,No
2.3,B_3,32559.6,D_6,1.0,F_1,G_10,H_1,I_1,J_1,0.0,0.0,4.0,N_1,Yes
3.1,B_3,38115.3,D_6,1.0,F_1,G_2,H_5,I_1,J_1,0.0,0.0,6.0,N_1,Yes
4.1,B_5,17514.9,D_2,0.9,F_3,G_8,H_1,I_2,J_2,0.0,0.0,3.8,N_1,Yes
2.9,B_3,10040.5,D_13,0.6,F_2,G_9,H_3,I_4,J_2,0.0,0.0,4.0,N_1,Yes
3.1,B_3,19328.5,D_1,1.3,F_1,G_4,H_1,I_1,J_1,0.0,0.0,4.0,N_1,Yes
4.9,B_5,10723.1,D_2,0.9,F_2,G_7,H_2,I_1,J_1,0.0,200.2,4.0,N_1,Yes
5.9,B_5,23843.1,D_2,0.9,F_3,G_1,H_5,I_1,J_2,0.0,0.0,3.8,N_1,Yes
5.8,B_3,13160.8,D_6,1.0,F_7,G_7,H_1,I_1,J_1,0.0,0.0,4.0,N_1,Yes
3.8,B_3,18962.3,D_1,1.3,F_2,G_4,H_2,I_1,J_1,0.0,188.7,4.0,N_1,No
4.3,B_3,10202.5,D_4,1.4,F_2,G_4,H_2,I_5,J_1,0.0,0.0,5.0,N_1,Yes
3.0,B_3,24125.9,D_8,1.1,F_2,G_8,H_2,I_1,J_1,0.0,0.0,4.0,N_1,Yes
2.3,B_3,14126.4,D_6,1.0,F_1,G_2,H_6,I_2,J_2,0.0,0.0,4.0,N_1,Yes
2.2,B_3,13123.0,D_1,1.3,F_1,G_6,H_4,I_1,J_1,0.0,0.0,4.0,N_1,Yes
2.3,B_3,66467.0,D_2,0.9,F_1,G_7,H_4,I_2,J_1,0.0,0.0,4.0,N_1,Yes
2.1,B_3,29478.9,D_6,1.0,F_1,G_5,H_1,I_1,J_2,0.0,0.0,2.5,N_1,Yes
6.6,B_3,19313.2,D_5,0.5,F_5,G_5,H_1,I_2,J_2,0.0,0.0,3.0,N_1,Yes
5.0,B_3,14762.9,D_4,1.4,F_2,G_4,H_2,I_1,J_1,1502.4,0.0,4.5,N_1,No
2.9,B_3,5413.1,D_6,1.0,F_1,G_6,H_1,I_1,J_1,0.0,0.0,3.0,N_1,Yes
2.7,B_3,16386.2,D_2,0.9,F_1,G_8,H_1,I_1,J_1,0.0,0.0,4.0,N_1,Yes
5.0,B_6,28759.8,D_6,1.0,F_2,G_7,H_2,I_1,J_1,0.0,0.0,7.0,N_1,Yes
2.2,B_3,24972.7,D_6,1.0,F_1,G_1,H_4,I_1,J_1,0.0,0.0,3.0,N_1,Yes
5.7,B_3,7341.1,D_6,1.0,F_2,G_7,H_2,I_1,J_1,0.0,0.0,4.0,N_1,No
4.7,B_3,38613.6,D_2,0.9,F_2,G_8,H_2,I_1,J_1,0.0,0.0,3.5,N_1,Yes
3.7,B_3,28046.4,D_6,1.0,F_2,G_2,H_2,I_2,J_1,0.0,0.0,8.0,N_1,No
7.1,B_3,10520.0,D_2,0.9,F_2,G_12,H_2,I_1,J_1,676.7,0.0,2.0,N_1,Yes
5.7,B_4,33789.5,D_1,1.3,F_2,G_4,H_2,I_2,J_1,0.0,0.0,4.0,N_1,No
3.8,B_3,31621.1,D_2,0.9,F_3,G_7,H_4,I_1,J_1,0.0,0.0,4.0,N_1,Yes
2.4,B_3,24152.3,D_2,0.9,F_2,G_5,H_2,I_1,J_1,0.0,0.0,4.5,N_1,No
4.9,B_5,22687.1,D_2,0.9,F_2,G_10,H_2,I_2,J_1,0.0,0.0,4.0,N_1,No
